"Atividade / Entrega principal
(O que será feito / produzido)","Atividade / Entrega principal
(O que foi feito / produzido)","Vinculada à rubrica/custo
(deve existir na aba 1_CRONOGRAMA_FINANCEIRO)","Caso haja alteração no plano de trabalho, justifique o motivo."
Alimentação da equipe durante oficinas e ações em território,"Apoio à alimentação da equipe de comunicação durante oficinas, reuniões, coberturas e atividades comunitárias realizadas nas comunidades Kalunga Engenho II, Vão do Moleque e Riachão, incluindo apoio às cozinheiras locais responsáveis pela alimentação coletiva durante as ações.",Alimentação ,"A rubrica foi utilizada para garantir condições de permanência da equipe durante as atividades territoriais desenvolvidas ao longo do período apresentado, fortalecendo também a economia comunitária local e a realização das ações em campo."
Hospedagem da equipe durante atividades comunitárias,"Hospedagem da equipe de comunicação durante oficinas e atividades realizadas em comunidades quilombolas, possibilitando permanência no território durante ações formativas, coberturas e construção coletiva de conteúdos comunitários.",Hospedagem,"A inserção da rubrica ocorreu para adequação da organização financeira às necessidades reais de execução do projeto em território, considerando distâncias, logística comunitária e permanência da equipe durante as ações desenvolvidas."
Apoio operacional e adequações técnicas do projeto,"Apoio operacional às atividades desenvolvidas ao longo dos meses, incluindo deslocamentos internos, apoio logístico, manutenção de plataformas digitais, recarga de celulares, compra de chips, pagamento de aplicativos da Rede, fortalecimento da estrutura de comunicação e adequações técnicas necessárias durante a execução das ações territoriais.",Reserva Operacional,"A rubrica de reserva operacional foi utilizada de forma flexível para atender demandas práticas surgidas durante a execução do projeto, considerando necessidades logísticas, técnicas e operacionais relacionadas às atividades em território. Em alguns períodos, os valores executados variaram conforme as demandas específicas de cada mês, sem comprometer o planejamento geral do projeto."
,,,
,,,
,,,
,,,
,,,
,,,
Observações importantes:,,,
- Cada linha desta aba deve ter correspondência com uma (ou mais) linhas de custo na aba 1_CRONOGRAMA_FINANCEIRO.,,,
- O período informado aqui deve bater com a distribuição dos valores pelos meses na aba financeira.,,,
